galaxy,Vk_Vb,regime,pearson_r,delta_sigma_kms,mean_L_eff_kpc,min_L_eff_kpc,source,flag
NGC6946,0.2231,baryon-dom,-0.3713,0.0,120.4553,66.6667,original,
NGC2903,0.2849,baryon-dom,0.3397,0.0,118.9625,66.6667,original,
NGC5585,0.3181,baryon-dom,0.1821,0.0,127.6569,66.6684,original,
NGC0891,0.4488,baryon-dom,-0.044,0.0,124.0558,66.6667,original,
NGC7793,0.5172,baryon-dom,0.5379,0.0,141.2984,66.6667,new,
NGC2998,0.5527,baryon-dom,0.5345,0.0,170.7262,66.6667,new,
NGC0024,0.5603,baryon-dom,0.544,0.0,133.4746,66.6667,new,
IC2574,0.6024,baryon-dom,0.9451,0.0,151.1534,66.6667,original,
NGC3893,0.6076,baryon-dom,0.2494,0.0,124.5084,66.6667,original,
DDO161,0.6433,baryon-dom,0.2113,0.0,126.5084,66.6667,new,
NGC3769,0.6712,baryon-dom,0.4491,0.0,149.6979,66.6667,new,
NGC3726,0.6748,baryon-dom,0.4771,0.0,142.6519,66.6667,new,
NGC1003,0.7049,baryon-dom,0.1185,0.0,120.8051,66.6667,new,
NGC3198,0.7206,baryon-dom,0.2715,0.0,123.7881,66.6667,original,
NGC5033,0.7485,baryon-dom,0.1114,0.0,147.3388,66.6667,new,
NGC3953,0.7511,baryon-dom,0.8128,0.0,160.7849,66.6667,new,
NGC3521,0.7516,baryon-dom,0.2682,0.0,123.0346,66.6667,new,
NGC3992,0.7604,baryon-dom,0.6238,0.0,143.0721,66.6667,new,
UGC03580,0.8111,balanced,0.4897,0.0,132.2477,66.6667,new,
UGC06983,0.8417,balanced,0.8738,0.0,154.9478,66.6667,new,
NGC5055,0.8655,balanced,0.3541,0.0,121.4856,66.6667,original,
UGC07608,0.8751,balanced,0.9192,0.0,151.6778,72.796,new,
UGC02259,0.8989,balanced,0.6157,0.0,138.9335,76.737,new,
NGC4100,1.0513,balanced,0.1984,0.0,120.4781,66.6667,new,
KK98-251,1.0695,balanced,0.9282,0.0,146.2226,66.6667,new,
UGC05716,1.1448,balanced,0.3689,0.0,127.1986,66.6667,new,
F571-8,1.202,balanced,0.8649,0.0,153.9504,66.6667,new,
NGC6503,1.401,balanced,0.3185,0.0,121.2004,66.6667,original,
NGC2403,1.9347,DM-dom,0.476,0.0,124.4451,66.6667,new,
NGC2955,2.1869,DM-dom,0.582,-0.0,182.1529,66.6667,new,
UGC07261,0.0272,baryon-dom,0.469,0.0,139.3914,70.2531,phase2a,
